date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:49:13	66237/66237	---M--	200	added ('OK')	image/jpeg	etag:%222c9ca553d93eba2d%22	https://i0.wp.com/risis.in/wp-content/uploads/2021/08/2019.jpg?fit=640%2C427&ssl=1	C:/My%20Web%20Sites/risis/i0.wp.com/risis.in/wp-content/uploads/2021/08/2019b7e0.jpg	(from https://risis.in/)
18:49:14	358303/358303	---M--	200	added ('OK')	image/jpeg	etag:%22f9171c2cc28d89bf%22	https://i0.wp.com/risis.in/wp-content/uploads/2021/08/Nirmit-2019.jpg?fit=1600%2C1067&ssl=1	C:/My%20Web%20Sites/risis/i0.wp.com/risis.in/wp-content/uploads/2021/08/Nirmit-20190d58.jpg	(from https://risis.in/)
18:49:14	63455/63455	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:49:05%20GMT	https://risis.in/illegal-detention/	C:/My%20Web%20Sites/risis/risis.in/illegal-detention/index.html	(from https://risis.in/)
18:49:15	65279/65279	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:49:06%20GMT	https://risis.in/hit-run/	C:/My%20Web%20Sites/risis/risis.in/hit-run/index.html	(from https://risis.in/)
18:49:15	65922/65922	---M--	200	added ('OK')	image/jpeg	etag:%22d483fbeb7a90983c%22	https://i0.wp.com/risis.in/wp-content/uploads/2021/08/Nirmit-2019.jpg?fit=640%2C427&ssl=1	C:/My%20Web%20Sites/risis/i0.wp.com/risis.in/wp-content/uploads/2021/08/Nirmit-2019b7e0.jpg	(from https://risis.in/)
18:49:15	64411/64411	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:49:07%20GMT	https://risis.in/intellectual-property/	C:/My%20Web%20Sites/risis/risis.in/intellectual-property/index.html	(from https://risis.in/)
18:49:16	145352/145352	---M--	200	added ('OK')	image/jpeg	etag:%2201cd309902c21049%22	https://i0.wp.com/risis.in/wp-content/uploads/2021/08/cms-2021-e1628172652176.jpg?fit=1280%2C867&ssl=1	C:/My%20Web%20Sites/risis/i0.wp.com/risis.in/wp-content/uploads/2021/08/cms-2021-e1628172652176d348.jpg	(from https://risis.in/)
18:49:17	64412/64412	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:49:08%20GMT	https://risis.in/corporate/	C:/My%20Web%20Sites/risis/risis.in/corporate/index.html	(from https://risis.in/)
18:49:17	58511/58511	---M--	200	added ('OK')	image/jpeg	etag:%22f9f0497a780cfae4%22	https://i0.wp.com/risis.in/wp-content/uploads/2021/08/cms-2021-e1628172652176.jpg?fit=640%2C434&ssl=1	C:/My%20Web%20Sites/risis/i0.wp.com/risis.in/wp-content/uploads/2021/08/cms-2021-e1628172652176b26b.jpg	(from https://risis.in/)
18:49:17	138749/138749	---M--	200	added ('OK')	image/jpeg	etag:%22676e2cba3f82c49d%22	https://i0.wp.com/risis.in/wp-content/uploads/2021/08/Diwali-2020.jpeg?fit=820%2C557&ssl=1	C:/My%20Web%20Sites/risis/i0.wp.com/risis.in/wp-content/uploads/2021/08/Diwali-2020fe07.jpg	(from https://risis.in/)
18:49:17	66581/66581	---M--	200	added ('OK')	image/jpeg	etag:%22f55521523b93a6f0%22	https://i0.wp.com/risis.in/wp-content/uploads/2021/08/Diwali-2020.jpeg?fit=640%2C435&ssl=1	C:/My%20Web%20Sites/risis/i0.wp.com/risis.in/wp-content/uploads/2021/08/Diwali-2020f67e.jpg	(from https://risis.in/)
18:49:18	64326/64326	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:49:09%20GMT	https://risis.in/weapons-law/	C:/My%20Web%20Sites/risis/risis.in/weapons-law/index.html	(from https://risis.in/)
18:49:18	91056/91056	---M--	200	added ('OK')	image/jpeg	etag:%224134f6f30fee18fc%22	https://i0.wp.com/risis.in/wp-content/uploads/2021/08/korea-2019.jpg?fit=820%2C557&ssl=1	C:/My%20Web%20Sites/risis/i0.wp.com/risis.in/wp-content/uploads/2021/08/korea-2019fe07.jpg	(from https://risis.in/)
18:49:19	44432/44432	---M--	200	added ('OK')	image/jpeg	etag:%2207997afe52edeac8%22	https://i0.wp.com/risis.in/wp-content/uploads/2021/08/korea-2019.jpg?fit=640%2C435&ssl=1	C:/My%20Web%20Sites/risis/i0.wp.com/risis.in/wp-content/uploads/2021/08/korea-2019f67e.jpg	(from https://risis.in/)
18:49:20	66848/66848	---M--	200	added ('OK')	image/png	etag:%2261327b74c6822e58%22	https://i0.wp.com/risis.in/wp-content/uploads/2018/07/women.png?resize=400%2C500&ssl=1	C:/My%20Web%20Sites/risis/i0.wp.com/risis.in/wp-content/uploads/2018/07/women91bc.png	(from https://risis.in/)
